platform,item_id,title,description,category,user_id,interaction_type,interaction_value,timestamp
amazon_shopping,B001EO605K,"tasty, convenient","these are tasty and convenient nori strips... scissor one or two into a tablespoon of toasted sesame seeds for instant furikake, roll a few into a circle and fill with rice or other goodies, or (as i do) place one into a stainless 1.5 oz sauce cup and add rice for a sushi mold - no more sticky rice fingers! you'll get 50 strips per pack, with 10 sealed wraps containing five strips each - the whole enchilada gives me 300 strips!<br /><br />i am taking off one star for two reasons: a) there's no e",unknown,A18ECVX2RJ7HUE,purchase,4,2024-07-03
amazon_shopping,B0015V8EOW,"well packed, fresh, and DELICIOUS!","my order came in a nicely packed heavy yellow cardboard box with licorice made and packed in the Netherlands; three bags contain nearly 7 pounds of fresh, delicious, sweet and *slightly* salty licorice coins!<br /><br />this licorice may not appeal to heavy ammonium chloride licorice eaters (double-salted), but for my tastes, this licorice combines the best of sweet and salty; the coins dissolve nicely in the mouth, delaying the urge to chew and gobble (and i can gobble some licorice, let me tel",unknown,A18ECVX2RJ7HUE,purchase,5,2021-09-16
amazon_shopping,B000HDL1P8,best on the market,"i'm not a big fan of prepared package soups (especially those awful chik-n-noodles types), but i was simply astounded by the great taste of this product - others have chimed in with their 'upgrades' to the mix, and i'll add mine:  dried mushrooms - especially the shredded wood-ears you can get at your local Asian grocery...<br /><br />i keep this item in stock at the casa at all times! fabulous product!",unknown,A18ECVX2RJ7HUE,purchase,5,2021-05-30
amazon_shopping,B000LKZ86K,"Excellent, Convenient Product!","Please note that the product image is different from the product packaging you will receive; they're the same, just that the present proper name is ""Mori-Nu Silken Tofu Extra Firm,"" not ""Silken Style."" But it doesn't matter, as this is one of the most convenient products for your pantry if you enjoy tofu in your miso or stir fry. This product, according to the manufacturer, has a recommended shelf life of one year from date of manufacture. I ordered and received this 12-pack in April 2009 and re",unknown,A18ECVX2RJ7HUE,purchase,5,2023-11-21
amazon_shopping,B007JFMIWW,delicous!,"i wish i could find these in my local grocery - they're that good!<br /><br />i love blueberries and this bar combines a satisfying bit of inner sweetness with a crispy exterior - a win!<br /><br />and at 100 calories per bar, this is a good snack for my regime",unknown,A18ECVX2RJ7HUE,purchase,5,2018-08-15
amazon_shopping,B000SAFNPE,Fresh and perfectly preserved Ginger.....The best!,If you like Crystallized Ginger your will love this product.  Light colored and obviously fresh and nice nice large pieces.,unknown,AOWZQAE1TO0IA,purchase,5,2022-08-22
amazon_shopping,B000OUNXXW,Fancy Feast,"Was fast shipping, and I got what I had ordered the cats were very happy, me too. Would buy form this seller again.",unknown,A3JHH7OIE7A93O,purchase,5,2021-12-17
amazon_shopping,B001SAWJN2,YUM YUM,THIS PRODUCT MIXED WITH SOUR CREAM AND SOME SWEET PICKLE JUICE IS THE BEST POTATO SALAD DRESSING I HAVE EVER TASTED.  TRY IT YOU WILL LIKE IT.  JUST BLEND TO YOUR OWN TASTE PREFERENCE.,unknown,A2369JKT3HZUW2,purchase,5,2021-03-11
amazon_shopping,B003GBCH10,CRUNCHY,IF YOU LIKE CRUNCH THIS PRODUCT WILL SATISFY YOUR CRAVING. IT IS CHEESE AND VERY TASTY AND SATISFYING. I RECOMMEND IT FOR SNACKS THAT ARE EASY AND NUTRITIOUS.,unknown,A2369JKT3HZUW2,purchase,5,2024-05-25
amazon_shopping,B0028G9OD8,INTERESTING SALT,I RECEIVED THEM VERY FAST. I LIKE THE UNUSUAL COLOR AND IT HAS MINERALS THAT OTHER SALT DOES NOT HAVE.  I USUALLY ORDER A VARIETY OF DIFFERENT SALT.  EACH ONE HAS DIFFERENT MINERALS DEPENDING ON WHERE IT COMES FROM. VARIETY IS INTERESTING FOR DIFFERENT FLAVORS.  I RECOMMEND TRYING THIS ONE.,unknown,A2369JKT3HZUW2,purchase,5,2018-10-21
